Unnamed: 0,Carat,Cut,Color,Clarity,Depth,Table,Price
64,0.42,Premium,I,SI2,61.5,59.0,552
65,0.28,Ideal,G,VVS2,61.4,56.0,553
66,0.32,Ideal,I,VVS1,62.0,55.3,553
67,0.31,VeryGood,G,SI1,63.3,57.0,553
68,0.31,Premium,G,SI1,61.8,58.0,553
69,0.24,Premium,E,VVS1,60.7,58.0,553
70,0.24,VeryGood,D,VVS1,61.5,60.0,553
71,0.3,VeryGood,H,SI1,63.1,56.0,554
72,0.3,Premium,H,SI1,62.9,59.0,554
73,0.3,Premium,H,SI1,63.3,57.0,554
74,0.3,Good,H,SI1,63.7,57.0,554
75,0.26,VeryGood,F,VVS2,59.2,60.0,554
76,0.26,VeryGood,E,VVS2,59.9,58.0,554
77,0.26,VeryGood,D,VVS2,62.4,54.0,554
78,0.26,VeryGood,D,VVS2,62.8,60.0,554
79,0.26,VeryGood,E,VVS1,62.6,59.0,554
80,0.26,VeryGood,E,VVS1,63.4,59.0,554
81,0.26,VeryGood,D,VVS1,62.1,60.0,554
82,0.26,Ideal,E,VVS2,62.9,58.0,554
83,0.38,Ideal,I,SI2,61.6,56.0,554
84,0.26,Good,E,VVS1,57.9,60.0,554
85,0.24,Premium,G,VVS1,62.3,59.0,554
86,0.24,Premium,H,VVS1,61.2,58.0,554
87,0.24,Premium,H,VVS1,60.8,59.0,554
88,0.24,Premium,H,VVS2,60.7,58.0,554
89,0.32,Premium,I,SI1,62.9,58.0,554
90,0.7,Ideal,E,SI1,62.5,57.0,2757
91,0.86,Fair,E,SI2,55.1,69.0,2757
92,0.7,Ideal,G,VS2,61.6,56.0,2757
93,0.71,VeryGood,E,VS2,62.4,57.0,2759
94,0.78,VeryGood,G,SI2,63.8,56.0,2759
95,0.7,Good,E,VS2,57.5,58.0,2759
96,0.7,Good,F,VS1,59.4,62.0,2759
97,0.96,Fair,F,SI2,66.3,62.0,2759
98,0.73,VeryGood,E,SI1,61.6,59.0,2760
99,0.8,Premium,H,SI1,61.5,58.0,2760
100,0.75,VeryGood,D,SI1,63.2,56.0,2760
101,0.75,Premium,E,SI1,59.9,54.0,2760
102,0.74,Ideal,G,SI1,61.6,55.0,2760
103,0.75,Premium,G,VS2,61.7,58.0,2760
104,0.8,Ideal,I,VS1,61.95,56.0,2760
105,0.75,Ideal,G,SI1,62.2,55.0,2760
106,0.8,Premium,G,SI1,63.0,59.0,2760
107,0.74,Ideal,I,VVS2,62.3,55.0,2761
108,0.81,Ideal,F,SI2,58.8,57.0,2761
109,0.59,Ideal,E,VVS2,62.0,55.0,2761
110,0.8,Ideal,F,SI2,62.1,57.0,2761
111,0.74,Ideal,E,SI2,62.2,56.0,2761
112,0.9,Premium,I,VS2,63.0,58.0,2761
113,0.74,VeryGood,G,SI1,62.2,59.0,2762
114,0.73,Ideal,F,VS2,62.6,56.0,2762
115,0.73,Ideal,F,VS2,62.7,53.0,2762
116,0.8,Premium,F,SI2,62.55,58.0,2762
117,0.71,Ideal,G,VS2,62.4,54.0,2762
118,0.7,Ideal,E,VS2,60.7,58.0,2762
119,0.8,Ideal,F,SI2,59.9,59.0,2762
120,0.71,Ideal,D,SI2,61.099999999999994,56.0,2762
121,0.74,Ideal,E,SI1,62.3,54.0,2762
122,0.7,VeryGood,F,VS2,61.7,63.0,2762
123,0.7,Fair,F,VS2,64.5,57.0,2762
124,0.7,Fair,F,VS2,65.3,55.0,2762
125,0.7,Premium,F,VS2,61.6,60.0,2762
126,0.91,Premium,H,SI1,60.6,56.0,2763
127,0.61,VeryGood,D,VVS2,59.6,57.0,2763
128,0.91,Fair,H,SI2,64.4,57.0,2763
129,0.91,Fair,H,SI2,65.7,60.0,2763
130,0.77,Ideal,H,VS2,62.0,56.0,2763
131,0.71,VeryGood,D,SI1,61.95,58.0,2764
132,0.71,Ideal,D,SI1,61.9,59.0,2764
133,0.7,VeryGood,E,VS2,62.6,60.0,2765
134,0.77,VeryGood,H,VS1,61.3,60.0,2765
135,0.63,Premium,E,VVS1,60.9,60.0,2765
136,0.71,VeryGood,F,VS1,60.1,62.0,2765
137,0.71,Premium,F,VS1,61.8,59.0,2765
138,0.76,Ideal,H,SI1,61.2,57.0,2765
139,0.64,Ideal,G,VVS1,61.9,56.0,2766
140,0.71,Premium,G,VS2,60.9,57.0,2766
141,0.71,Premium,G,VS2,59.8,56.0,2766
142,0.7,VeryGood,D,VS2,61.8,55.0,2767
143,0.7,VeryGood,F,VS1,60.0,57.0,2767
144,0.71,Ideal,D,SI2,61.6,55.0,2767
145,0.7,Good,H,VVS2,62.1,64.0,2767
146,0.71,VeryGood,G,VS1,63.3,59.0,2768
147,0.73,VeryGood,D,SI1,60.2,56.0,2768
148,0.7,VeryGood,D,SI1,61.1,58.0,2768
149,0.7,Ideal,E,SI1,61.400000000000006,57.0,2768
150,0.71,Premium,D,SI2,61.7,59.0,2768
151,0.74,Ideal,I,SI1,61.3,56.0,2769
152,0.71,Premium,D,VS2,62.5,60.0,2770
153,0.73,Premium,G,VS2,61.4,59.0,2770
154,0.76,VeryGood,F,SI1,62.9,57.0,2770
155,0.76,Ideal,D,SI2,62.4,57.0,2770
156,0.71,Ideal,F,SI1,60.7,56.0,2770
157,0.73,Premium,G,VS2,60.7,58.0,2770
158,0.73,Premium,G,VS1,61.5,58.0,2770
159,0.73,Ideal,D,SI2,59.9,57.0,2770
160,0.73,Premium,G,VS2,60.099999999999994,59.0,2770
161,0.72,VeryGood,H,VVS2,60.3,56.0,2771
162,0.73,VeryGood,F,SI1,61.7,60.0,2771
163,0.71,Ideal,G,VS2,61.9,57.0,2771
164,0.79,Ideal,F,SI2,61.9,55.0,2771
165,0.73,VeryGood,H,VVS1,60.4,59.0,2772
166,0.8,VeryGood,F,SI2,61.0,57.0,2772
167,0.58,Ideal,G,VVS1,61.5,55.0,2772
168,0.58,Ideal,F,VVS1,61.7,56.0,2772
169,0.71,Good,E,VS2,59.2,61.0,2772
170,0.75,Ideal,D,SI2,61.3,56.0,2773
171,0.7,Premium,D,VS2,58.0,62.0,2773
172,1.17,VeryGood,J,I1,60.2,61.0,2774
173,0.6,Ideal,E,VS1,61.7,55.0,2774
174,0.7,Ideal,E,SI1,62.7,55.0,2774
175,0.83,Good,I,VS2,64.6,54.0,2774
176,0.74,VeryGood,F,VS2,61.3,61.0,2775
177,0.72,VeryGood,G,VS2,63.7,56.4,2776
178,0.71,Premium,E,VS2,62.7,58.0,2776
179,0.71,Ideal,E,VS2,62.2,57.0,2776
180,0.54,Ideal,E,VVS2,61.6,56.0,2776
181,0.54,Ideal,E,VVS2,61.5,57.0,2776
182,0.72,Ideal,G,SI1,61.8,56.0,2776
183,0.72,Ideal,G,SI1,60.7,56.0,2776
184,0.72,Good,G,VS2,59.7,60.5,2776
185,0.71,Ideal,G,SI1,60.5,56.0,2776
186,0.7,VeryGood,D,VS1,62.7,58.0,2777
187,0.71,Premium,F,VS2,62.1,58.0,2777
188,0.71,VeryGood,F,VS2,62.95,57.0,2777
189,0.71,Good,F,VS2,63.8,58.0,2777
190,0.71,Good,F,VS2,57.8,60.0,2777
191,0.7,Ideal,E,VS2,62.1,55.0,2777
192,0.7,Premium,E,VS2,61.1,60.0,2777
193,0.7,Premium,E,SI1,60.0,59.0,2777
194,0.7,Premium,E,SI1,61.2,57.0,2777
195,0.7,Premium,E,SI1,62.7,59.0,2777
196,0.7,Premium,E,SI1,61.0,57.0,2777
197,0.7,Premium,E,SI1,61.0,58.0,2777
198,0.7,Ideal,E,SI1,61.4,57.0,2777
199,0.72,Premium,F,SI1,61.8,61.0,2777
200,0.7,VeryGood,E,SI1,59.9,63.0,2777
201,0.7,Premium,E,SI1,61.3,58.0,2777
202,0.7,Premium,E,SI1,60.5,58.0,2777
203,0.7,Good,E,VS2,64.1,59.0,2777
204,0.98,Fair,H,SI2,67.9,60.0,2777
205,0.78,Premium,F,SI1,62.4,58.0,2777
206,0.7,VeryGood,E,SI1,63.2,60.0,2777
207,0.52,Ideal,F,VVS1,61.3,55.0,2778
208,0.73,VeryGood,H,VS2,60.8,56.0,2779
209,0.74,Ideal,E,SI1,61.7,56.0,2779
210,0.7,VeryGood,F,VS2,63.6,57.0,2780
211,0.77,Premium,G,VS2,61.2,58.0,2780
212,0.71,Ideal,F,VS2,62.1,54.0,2780
213,0.74,Ideal,G,VS1,61.5,55.0,2780
214,0.7,Ideal,G,VS1,61.4,59.0,2780
215,1.01,Premium,F,I1,61.8,60.0,2781
216,0.77,Ideal,H,SI1,62.2,56.0,2781
217,0.78,Ideal,H,SI1,61.2,56.0,2781
218,0.72,VeryGood,H,VS1,60.6,63.0,2782
219,0.53,VeryGood,D,VVS2,57.5,64.0,2782
220,0.76,Ideal,G,VS2,61.3,56.0,2782
221,0.7,Good,E,VS1,57.2,62.0,2782
222,0.7,Premium,E,VS1,62.9,60.0,2782
223,0.75,VeryGood,D,SI2,63.1,58.0,2782
224,0.72,Ideal,D,SI1,60.8,57.0,2782
225,0.72,Premium,D,SI1,62.7,59.0,2782
226,0.7,Premium,D,SI1,62.8,60.0,2782
227,0.84,Fair,G,SI1,55.1,67.0,2782
228,0.75,Premium,F,SI1,61.4,59.0,2782
229,0.52,Ideal,F,IF,62.2,55.0,2783
230,0.72,VeryGood,F,VS2,63.0,54.0,2784
231,0.79,VeryGood,H,VS1,63.7,56.0,2784
232,0.72,VeryGood,F,VS2,63.6,58.0,2787
233,0.51,Ideal,F,VVS1,62.0,57.0,2787
234,0.64,Ideal,D,VS1,61.5,56.0,2787
235,0.7,VeryGood,H,VVS1,60.5,60.0,2788
236,0.83,VeryGood,I,VS1,61.1,60.0,2788
237,0.76,Ideal,I,VVS2,61.8,56.0,2788
238,0.71,Good,D,VS2,63.3,56.0,2788
239,0.77,Good,G,VS1,59.4,64.0,2788
240,0.71,Ideal,F,SI1,62.5,55.0,2788
241,1.01,Fair,E,I1,64.5,58.0,2788
242,1.01,Premium,H,SI2,62.7,59.0,2788
243,0.77,Good,F,SI1,64.2,52.0,2789
244,0.76,Good,E,SI1,63.7,54.0,2789
245,0.76,Premium,E,SI1,60.4,58.0,2789
246,0.76,Premium,E,SI1,61.8,58.0,2789
247,1.05,VeryGood,J,SI2,63.2,56.0,2789
248,0.81,Ideal,G,SI2,61.6,56.0,2789
249,0.7,Ideal,E,SI1,61.6,56.0,2789
250,0.55,Ideal,G,IF,60.9,57.0,2789
251,0.81,Good,G,SI2,61.0,61.0,2789
252,0.63,Premium,E,VVS2,62.1,57.0,2789
253,0.63,Premium,E,VVS1,60.9,60.0,2789
254,0.77,Premium,H,VS1,61.3,60.0,2789
255,1.05,Fair,J,SI2,65.8,59.0,2789
256,0.64,Ideal,G,IF,61.3,56.0,2790
257,0.76,Premium,I,VVS1,58.8,59.0,2790
258,0.83,Ideal,F,SI2,62.3,55.0,2790
259,0.71,Premium,F,VS1,60.1,62.0,2790
260,0.71,Premium,F,VS1,61.8,59.0,2790
261,0.87,VeryGood,I,SI1,63.6,55.8,2791
262,0.73,Ideal,E,SI1,62.2,56.0,2791
263,0.71,Premium,E,SI1,59.2,59.0,2792
264,0.71,Premium,E,SI1,61.8,59.0,2792
265,0.71,Ideal,E,SI1,61.3,55.0,2792
266,0.7,Premium,F,VS1,62.1,60.0,2792
267,0.7,Premium,F,VS1,60.7,60.0,2792
268,0.76,Premium,H,VVS2,59.6,57.0,2792
269,0.7,Ideal,F,VS1,62.2,56.0,2792
270,0.79,VeryGood,G,SI1,60.6,57.0,2793
271,0.7,VeryGood,E,VS2,62.9,57.0,2793
272,0.7,Good,E,VS2,64.1,55.0,2793
273,0.76,Ideal,I,VS2,61.3,56.0,2793
274,0.73,Ideal,H,VS2,62.7,55.0,2793
275,0.79,VeryGood,E,SI1,63.2,56.0,2794
276,0.71,VeryGood,E,VS2,60.7,56.0,2795
277,0.81,Premium,I,VVS2,61.9,60.0,2795
278,0.81,Ideal,F,SI2,62.6,55.0,2795
279,0.72,Good,F,VS1,60.7,60.0,2795
280,0.72,Premium,D,SI2,62.0,60.0,2795
281,0.72,Premium,I,IF,63.0,57.0,2795
282,0.81,Premium,H,VS2,58.0,59.0,2795
283,0.72,Premium,G,VS2,62.9,57.0,2795
284,1.0,Premium,I,SI2,58.2,60.0,2795
285,0.73,Good,E,SI1,63.2,58.0,2796
286,0.81,VeryGood,H,SI2,61.3,59.0,2797
287,0.81,VeryGood,E,SI1,62.0,60.0,2797
288,0.71,Premium,D,SI1,62.7,60.0,2797
289,0.71,Premium,D,SI1,61.3,58.0,2797
290,0.71,Premium,D,SI1,61.6,60.0,2797
291,0.57,Ideal,F,VVS2,61.9,55.0,2797
292,0.51,Ideal,D,VVS1,61.7,56.0,2797
293,0.72,Ideal,G,VS2,61.9,58.0,2797
294,0.74,Ideal,H,VS1,61.8,58.0,2797
295,0.74,Ideal,H,VS1,61.6,56.0,2797
296,0.7,Fair,G,VVS1,58.8,66.0,2797
297,0.8,Premium,F,SI2,61.0,57.0,2797
298,1.01,Fair,E,SI2,67.4,60.0,2797
299,0.8,VeryGood,H,VS2,63.4,60.0,2797
300,0.77,Ideal,I,VS1,60.7,59.0,2798
301,0.83,VeryGood,E,SI2,58.0,62.0,2799
302,0.82,Ideal,F,SI2,59.95,54.0,2799
303,0.78,Ideal,D,SI1,61.9,57.0,2799
304,0.6,VeryGood,G,IF,61.6,56.0,2800
305,0.9,Good,I,SI2,62.2,59.0,2800
306,0.7,Premium,E,VS1,62.2,58.0,2800
307,0.9,VeryGood,I,SI2,61.3,56.0,2800
308,0.83,Ideal,G,SI1,62.3,57.0,2800
309,0.83,Ideal,G,SI1,61.8,57.0,2800
310,0.83,VeryGood,H,SI1,62.5,59.0,2800
311,0.74,Premium,G,VS1,62.15,60.0,2800
312,0.79,Ideal,I,VS1,61.8,59.0,2800
313,0.61,Ideal,G,IF,62.3,56.0,2800
314,0.76,Fair,G,VS1,59.0,70.0,2800
315,0.96,Ideal,F,I1,60.7,55.0,2801
316,0.73,Ideal,F,VS2,62.5,55.0,2801
317,0.73,Premium,F,VS2,62.7,58.0,2801
318,0.75,Ideal,H,SI1,60.4,57.0,2801
319,0.71,Premium,F,VS2,62.1,58.0,2801
320,0.71,Good,F,VS2,57.8,60.0,2801
321,0.71,Good,F,VS2,63.8,58.0,2801
322,0.71,Premium,F,VS2,62.8,57.0,2801
323,1.04,Premium,G,I1,62.2,58.0,2801
324,1.0,Premium,J,SI2,62.3,58.0,2801
325,0.87,VeryGood,G,SI2,59.9,58.0,2802
326,0.53,Ideal,F,IF,61.9,54.0,2802
327,0.72,Premium,E,VS2,63.0,55.0,2802
328,0.72,Premium,F,VS1,62.4,58.0,2802
329,0.7,VeryGood,F,VS2,62.9,58.0,2803
330,0.74,VeryGood,E,SI1,63.5,56.0,2803
331,0.71,Ideal,G,VS2,61.3,56.0,2803
332,0.73,Ideal,E,SI1,60.6,54.0,2803
333,0.7,Good,G,VS1,65.1,58.0,2803
334,0.71,Premium,F,VS2,62.6,58.0,2803
335,0.71,Premium,F,VS2,58.0,62.0,2803
336,0.71,Premium,G,VS1,62.4,61.0,2803
337,0.77,Premium,G,VS2,61.3,57.0,2803
338,0.71,Premium,G,VS2,59.9,60.0,2803
339,0.78,Premium,G,VS2,60.8,58.0,2803
340,0.71,VeryGood,G,VS1,61.5,55.0,2803
341,0.91,Ideal,D,SI2,62.2,57.0,2803
342,0.71,VeryGood,E,VS2,63.8,58.0,2804
343,0.71,VeryGood,E,VS2,64.0,57.0,2804
344,0.8,VeryGood,E,SI2,62.5,56.0,2804
345,0.7,VeryGood,D,SI1,62.1,58.0,2804
346,0.72,Ideal,F,VS1,61.7,57.0,2804
347,0.72,VeryGood,F,VS1,62.2,58.0,2804
348,0.82,Ideal,H,VS2,61.5,56.0,2804
349,0.7,Ideal,D,SI1,61.0,59.0,2804
350,0.72,Ideal,D,SI1,62.2,56.0,2804
351,0.72,Ideal,D,SI1,61.5,54.0,2804
352,0.9,Fair,I,SI1,67.3,59.0,2804
353,0.74,Premium,F,VS2,61.7,58.0,2805
354,0.74,Premium,F,VS2,61.9,56.0,2805
355,0.73,Ideal,E,SI2,61.8,58.0,2805
356,0.57,Fair,E,VVS1,62.15,66.0,2805
357,0.73,Premium,F,VS2,62.5,57.0,2805
358,0.72,Ideal,G,VS2,62.8,56.0,2805
359,0.74,Fair,F,VS2,61.1,68.0,2805
360,0.82,Good,G,VS2,64.0,57.0,2805
361,0.81,VeryGood,G,SI1,62.5,60.0,2806
362,0.75,VeryGood,H,VVS1,60.6,58.0,2806
363,0.7,Ideal,F,SI1,61.6,55.0,2806
364,0.71,VeryGood,F,VS1,62.2,58.0,2807
365,0.71,VeryGood,F,VS1,60.0,57.0,2807
366,0.93,Premium,J,SI2,61.9,57.0,2807
367,0.8,VeryGood,H,VS2,62.8,57.0,2808
368,0.7,VeryGood,F,VS1,62.0,57.0,2808
369,1.0,Fair,G,I1,66.4,59.0,2808
370,0.75,VeryGood,G,VS2,63.4,56.0,2808
371,0.58,Ideal,E,VVS2,60.9,56.0,2808
372,0.73,VeryGood,D,SI1,62.0,57.0,2808
373,0.81,VeryGood,F,SI1,63.1,59.0,2809
374,0.81,Premium,D,SI2,59.2,57.0,2809
375,0.71,Premium,F,SI1,60.7,54.0,2809
376,1.2,Fair,F,I1,64.6,56.0,2809
377,0.7,VeryGood,F,VS1,61.8,56.0,2810
378,0.7,VeryGood,F,VS1,59.9,60.0,2810
379,0.74,Ideal,D,SI2,61.7,55.0,2810
380,0.7,Good,F,VS1,62.8,61.0,2810
381,0.8,Good,G,SI1,62.7,57.0,2810
382,0.75,VeryGood,F,SI1,63.4,58.0,2811
383,0.83,VeryGood,D,SI1,63.5,54.0,2811
384,1.0,Fair,J,VS2,65.7,59.0,2811
385,0.99,Fair,I,SI2,68.1,56.0,2811
386,0.7,VeryGood,G,VS1,63.0,60.0,2812
387,0.7,VeryGood,F,VS2,59.5,58.0,2812
388,0.7,Good,E,SI1,63.5,59.0,2812
389,0.7,VeryGood,F,VS2,61.7,58.0,2812
390,0.32,Premium,I,SI1,62.7,58.0,554
391,0.32,Premium,I,SI1,62.8,58.0,554
392,0.32,Ideal,I,SI1,62.4,57.0,554
393,0.32,Premium,I,SI1,61.0,59.0,554
394,0.32,VeryGood,I,SI1,63.1,56.0,554
395,0.32,Ideal,I,SI1,60.7,57.0,554
396,0.3,Premium,H,SI1,60.9,59.0,554
397,0.3,Premium,H,SI1,60.1,55.0,554
398,0.3,Premium,H,SI1,62.9,58.0,554
399,0.3,VeryGood,H,SI1,63.3,56.0,554
400,0.3,Good,H,SI1,63.8,55.0,554
401,0.3,Ideal,H,SI1,62.9,57.0,554
402,0.3,VeryGood,H,SI1,63.4,60.0,554
403,0.32,Good,I,SI1,63.9,55.0,554
404,0.33,Ideal,H,SI2,61.4,56.0,554
405,0.29,VeryGood,E,VS1,61.9,55.0,555
406,0.29,VeryGood,E,VS1,62.4,55.0,555
407,0.31,VeryGood,F,SI1,61.8,58.0,555
408,0.34,Ideal,H,VS2,61.5,56.0,555
409,0.34,Ideal,H,VS2,60.4,57.0,555
410,0.34,Ideal,I,VS1,61.8,55.0,555
411,0.34,Ideal,I,VS1,62.0,56.0,555
412,0.3,Ideal,G,VS1,62.3,56.0,555
413,0.29,Ideal,F,VS1,61.6,56.0,555
414,0.35,Ideal,G,SI1,60.6,56.0,555
415,0.43,VeryGood,E,I1,58.4,62.0,555
416,0.32,VeryGood,F,VS2,61.4,58.0,556
417,0.36,Ideal,I,VS2,61.9,56.0,556
418,0.3,Ideal,G,VS2,62.0,56.0,556
419,0.26,Ideal,E,VS1,61.5,57.0,556
420,0.7,VeryGood,F,VS2,62.3,58.0,2812
421,0.7,VeryGood,F,VS2,60.9,61.0,2812
422,0.71,Ideal,D,SI1,62.4,57.0,2812
423,0.99,Fair,J,SI1,55.0,61.0,2812
424,0.73,Premium,E,VS2,58.6,60.0,2812
425,0.51,Ideal,F,VVS1,62.0,57.0,2812
426,0.91,Premium,G,SI2,59.8,58.0,2813
427,0.84,VeryGood,E,SI1,63.4,55.0,2813
428,0.91,Good,I,VS2,64.3,58.0,2813
429,0.76,Premium,E,SI1,62.2,59.0,2814
430,0.76,Ideal,E,SI1,61.7,57.0,2814
431,0.75,Premium,E,SI1,61.1,59.0,2814
432,0.55,VeryGood,D,VVS1,61.5,56.0,2815
433,0.76,VeryGood,F,SI2,58.5,62.0,2815
434,0.74,Premium,G,VS1,61.7,58.0,2815
435,0.7,Ideal,H,SI1,60.4,56.0,2815
436,0.7,Ideal,H,SI1,61.4,56.0,2815
437,0.7,Ideal,H,SI1,61.5,55.0,2815
438,0.7,Ideal,H,SI1,61.4,56.0,2815
439,0.9,Fair,J,VS2,65.0,56.0,2815
440,0.95,Fair,F,SI2,56.0,60.0,2815
441,0.89,Premium,H,SI2,60.2,59.0,2815
442,0.72,Premium,E,VS2,58.3,58.0,2815
443,0.96,Fair,E,SI2,53.1,63.0,2815
444,1.02,Premium,G,I1,60.3,58.0,2815
445,0.78,VeryGood,I,VVS2,61.4,56.0,2816
446,0.61,Ideal,G,VVS2,60.1,57.0,2816
447,0.71,Good,D,VS1,63.4,55.0,2816
448,0.78,Premium,F,SI1,61.5,59.0,2816
449,0.87,Ideal,H,SI2,62.7,56.0,2816
450,0.83,Ideal,H,SI1,62.5,55.0,2816
451,0.71,Premium,E,SI1,61.3,56.0,2817
452,0.71,Ideal,I,VVS2,60.2,56.0,2817
453,0.71,Ideal,E,VS2,62.7,57.0,2817
454,0.71,Premium,E,VS2,62.3,58.0,2817
455,0.63,Ideal,F,VVS2,61.5,56.0,2817
456,0.71,Premium,E,SI1,59.2,59.0,2817
457,0.71,Premium,E,SI1,61.8,59.0,2817
458,0.71,Ideal,E,SI1,61.3,55.0,2817
459,0.71,Premium,E,SI1,61.4,58.0,2817
460,0.9,Ideal,J,VS2,62.8,55.0,2817
461,0.71,Good,E,SI1,62.8,64.0,2817
462,0.7,Premium,E,VS2,62.4,61.0,2818
463,0.7,Premium,E,VS2,59.3,60.0,2818
464,0.7,Premium,E,VS2,63.0,60.0,2818
465,1.0,Premium,H,I1,61.3,60.0,2818
466,0.86,Premium,F,SI2,59.3,62.0,2818
467,0.8,Ideal,H,SI1,61.0,57.0,2818
468,0.7,Ideal,E,VS1,62.9,57.0,2818
469,0.7,Premium,E,VS1,59.6,57.0,2818
470,0.7,Premium,F,VS2,61.8,60.0,2818
471,0.7,Premium,E,VS1,62.7,57.0,2818
472,1.0,Fair,H,SI2,65.3,62.0,2818
473,0.72,VeryGood,G,VS1,63.8,58.0,2819
474,0.72,Ideal,H,VS1,62.3,56.0,2819
475,0.7,Good,F,VS1,59.7,63.0,2819
476,0.86,Good,F,SI2,64.3,60.0,2819
477,0.71,Ideal,G,VS1,62.9,58.0,2820
478,0.75,Ideal,E,SI1,62.0,57.0,2821
479,0.73,Premium,E,VS2,61.6,59.0,2821
480,0.53,Ideal,E,VVS1,61.9,55.0,2821
481,0.73,Premium,E,SI1,61.3,58.0,2821
482,0.73,Good,E,SI1,63.6,57.0,2821
483,0.73,Premium,E,SI1,59.6,61.0,2821
484,0.73,Premium,E,SI1,62.2,59.0,2821
485,0.73,Premium,D,SI1,61.7,55.0,2821
486,0.73,VeryGood,E,SI1,63.2,58.0,2821
487,0.7,Premium,E,VS1,60.8,60.0,2822
488,0.72,Premium,E,VS2,60.3,59.0,2822
489,0.72,Premium,E,VS2,60.9,60.0,2822
490,0.72,Premium,E,VS2,62.4,59.0,2822
491,0.7,Premium,E,VS2,60.2,60.0,2822
492,0.6,Ideal,F,VVS2,62.0,55.0,2822
493,0.74,Ideal,I,VVS1,60.8,57.0,2822
494,0.73,Ideal,F,SI1,62.1,55.0,2822
495,0.71,Premium,D,SI1,62.7,60.0,2822
496,0.71,Premium,D,SI1,61.3,58.0,2822
497,0.7,Premium,D,SI1,61.0,60.0,2822
498,0.7,Ideal,D,SI1,60.7,56.0,2822
499,0.9,Good,J,VS2,64.0,61.0,2822
500,0.71,Ideal,D,SI1,60.2,56.0,2822
501,0.7,Premium,E,VS2,61.5,59.0,2822
502,0.7,Premium,E,VS2,62.6,56.0,2822
503,0.7,Ideal,D,SI1,59.7,58.0,2822
504,0.7,Good,E,SI1,61.4,64.0,2822
